1,Willow Creek,48.8687149,38.4224562,150,Downtown,Avalon
2,Pine Ridge,56.0194244,31.871595,300,Suburbia,Evergreen
3,Meadowbrook,104.066801,30.572815,450,Rural,Maplewood
4,Sunset Valley,15.7788513,50.0653975,600,City Center,Sunset
5,Maplewood,104.5946633,17.5767798,750,Waterfront,Pinecrest
6,Oak Hollow,-9.183608,31.26886,850,Mountainous,Willowbrook
7,Riverbend,27.8452537,-26.0396759,950,Industrial,Meadowview
8,Cedar Ridge,-95.8803869,18.1096868,200,Historic District,Oakland
9,Golden Fields,-1.8090692,48.2414942,500,Gated Community,Riverside
10,Whispering Pines,125.1001641,7.7299001,700,Countryside,Hillside
